,State,Overall Sentiment Before Vaccine,Number of Tweets Before Vaccine,Mean Polarity Before Vaccine,Mean Subjectivity Before Vaccine,Number of Tweets After Vaccine,Overall Sentiment After Vaccine,Mean Polarity After Vaccine,Mean Subjectivity After Vaccine,Sentiment Change
37,OR,Positive,9987,-0.004539891859417242,0.3479273307805909,6665,Positive,0.033112363090772694,0.3702562145954363,No
38,PA,Positive,22095,0.03622496945010183,0.35960890605617,16400,Positive,0.07113015853658536,0.35769437136493976,No
39,RI,Positive,2059,0.05437085964060224,0.35852371266200855,1821,Positive,0.12398237232289952,0.35941562734282584,No
40,SC,Positive,7602,0.0348228755590634,0.3520260284062385,4386,Positive,0.048398928408572725,0.3349334687587774,No
41,SD,Positive,865,0.050962658959537575,0.36117877773891394,919,Positive,0.028926224156692056,0.345045295295658,No
42,TN,Positive,11990,0.04241386989157631,0.3530210081377242,6981,Positive,0.049158258129207856,0.34562109322365986,No
43,TX,Positive,57222,0.026435849847960578,0.35415813481220143,45812,Neutral,0.035182801449401904,0.37269513751338373,Yes
44,UT,Positive,4723,0.05288651280965488,0.3526335553682768,2819,Positive,0.0489968428520752,0.3512594588700572,No
45,VT,Positive,1738,0.0366482163406214,0.3616261158138556,1407,Positive,0.07649353233830845,0.350059370783575,No
46,VI,Positive,59,0.14721186440677966,0.433659262112652,46,Negative,-0.06896521739130435,0.3457156189221407,Yes
47,VA,Positive,15721,0.04403517587939699,0.3559351559034485,16261,Neutral,0.07148394317692638,0.2938217661589718,Yes
48,WA,Positive,23229,0.023247526798398553,0.3505999154000878,15861,Positive,0.06723242544606269,0.34318934106631255,No
49,WV,Positive,2386,0.07277829002514669,0.3573870025855986,2222,Positive,0.1862478397839784,0.40766297068806473,No
50,WI,Positive,8938,0.03791602148131573,0.3606087547749549,6835,Positive,0.056589231894659836,0.34372895917612195,No
51,WY,Negative,693,-0.013574603174603173,0.3402231995006681,496,Positive,0.02806048387096774,0.36875737444732265,Yes
